0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step,test multilabel_f1_macro,test ranking_avg_precision,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,,0.6451612710952759,,,0.5264663696289062,,,0.8125,,,0.5882353186607361,0,172,,,,,,0.6430907249450684,0.6235632300376892,0.34351199865341187
,0.4812992215156555,,,0.545538604259491,,,0.3772242069244385,,,0.11650485545396805,,0,172,,,0.3801417052745819,0.5304237604141235,0.40100032091140747,,,
,,0.5622857213020325,,,0.5970516204833984,,,0.7857142686843872,,,0.7628865838050842,1,345,,,,,,0.6769845485687256,0.6427202820777893,0.3314792215824127
,0.6324110627174377,,,0.6151126623153687,,,0.8525469303131104,,,0.723247230052948,,1,345,,,0.7058295011520386,0.6703187227249146,0.328085720539093,,,
,,0.7110300660133362,,,0.6008230447769165,,,0.7943262457847595,,,0.8545454740524292,2,518,,,,,,0.7401812076568604,0.7157567143440247,0.30650028586387634
,0.651063859462738,,,0.6313020586967468,,,0.8630490899085999,,,0.8486841917037964,,2,518,,,0.7485247850418091,0.7003803253173828,0.31073760986328125,,,
,,0.7425044178962708,,,0.5866261124610901,,,0.7943262457847595,,,0.8648648858070374,3,691,,,,,,0.747080385684967,0.7349137663841248,0.29564735293388367
,0.6672261953353882,,,0.6504854559898376,,,0.8505154848098755,,,0.888198733329773,,3,691,,,0.7641064524650574,0.7179464101791382,0.3025946319103241,,,
,,0.6968238949775696,,,0.6201743483543396,,,0.8028169274330139,,,0.8695651888847351,4,864,,,,,,0.7473450899124146,0.720067024230957,0.30396705865859985
,0.6669470071792603,,,0.6414430141448975,,,0.8753180503845215,,,0.8861538171768188,,4,864,,,0.7674654722213745,0.7193951606750488,0.2968917191028595,,,
,,0.6888453960418701,,,0.621656060218811,,,0.8137931227684021,,,0.8771929740905762,5,1037,,,,,,0.7503718733787537,0.7246168851852417,0.30141156911849976
,0.682196319103241,,,0.6572563052177429,,,0.8659793734550476,,,0.9046154022216797,,5,1037,,,0.7775118350982666,0.7318906188011169,0.2913457453250885,,,
,,0.7188678979873657,,,0.6267409324645996,,,0.8309859037399292,,,0.8947368264198303,6,1210,,,,,,0.7678329348564148,0.7392241358757019,0.29222890734672546
,0.6824408173561096,,,0.6518130302429199,,,0.8765742778778076,,,0.89570552110672,,6,1210,,,0.7766334414482117,0.7327960729598999,0.289989173412323,,,
,,0.7025986313819885,,,0.6396760940551758,,,0.8251748085021973,,,0.886956512928009,7,1383,,,,,,0.763601541519165,0.7373084425926208,0.2935749590396881
,0.6821000576019287,,,0.654132068157196,,,0.8700000047683716,,,0.9189189076423645,,7,1383,,,0.7812877297401428,0.7346070408821106,0.28647246956825256,,,
,,0.7314814925193787,,,0.6289855241775513,,,0.8163265585899353,,,0.886956512928009,8,1556,,,,,,0.7659375071525574,0.7476053833961487,0.2870999276638031
,0.6771914958953857,,,0.6643417477607727,,,0.8695651888847351,,,0.912912905216217,,8,1556,,,0.7810028791427612,0.7377761602401733,0.2834107577800751,,,
,,0.7317972183227539,,,0.6271186470985413,,,0.8285714387893677,,,0.8928571343421936,9,1729,,,,,,0.7700861096382141,0.7476053833961487,0.28692564368247986
,0.6928808093070984,,,0.670180082321167,,,0.8702290058135986,,,0.910179615020752,,9,1729,,,0.7858673930168152,0.7421224117279053,0.28057861328125,,,
,,0.7179006338119507,,,0.6281690001487732,,,0.8219178318977356,,,0.8965517282485962,10,1902,,,,,,0.7661347985267639,0.743534505367279,0.2864122986793518
,0.6880131363868713,,,0.6549758911132812,,,0.8816120624542236,,,0.9184290170669556,,10,1902,,,0.7857575416564941,0.7382289171218872,0.28178155422210693,,,
,,0.6259542107582092,,,0.631813108921051,,,0.8391608595848083,,,0.8965517282485962,11,2075,,,,,,0.7483699917793274,0.7088122367858887,0.31802207231521606
,0.6984387636184692,,,0.677433431148529,,,0.8804070949554443,,,0.9309309124946594,,11,2075,,,0.7968025803565979,0.7505432963371277,0.27699360251426697,,,
,,0.7550839781761169,,,0.6276747584342957,,,0.8219178318977356,,,0.8965517282485962,12,2248,,,,,,0.7753070592880249,0.7624521255493164,0.28170084953308105
,0.6921162009239197,,,0.6672481298446655,,,0.8877550959587097,,,0.9212828278541565,,12,2248,,,0.7921005487442017,0.7450199127197266,0.27895236015319824,,,
,,0.7598944306373596,,,0.6289855241775513,,,0.8333333134651184,,,0.8965517282485962,13,2421,,,,,,0.7796912789344788,0.765325665473938,0.279353529214859
,0.6893442869186401,,,0.671353280544281,,,0.8967254161834717,,,0.919881284236908,,13,2421,,,0.7943260669708252,0.7476457953453064,0.2773289978504181,,,
,,0.6618407368659973,,,0.6284289360046387,,,0.8450704216957092,,,0.9059829115867615,14,2594,,,,,,0.7603307366371155,0.7203065156936646,0.2995273172855377
,0.7019113302230835,,,0.671978771686554,,,0.8916876316070557,,,0.9309309124946594,,14,2594,,,0.7991271615028381,0.7514487504959106,0.2735103964805603,,,
,,0.7175572514533997,,,0.6287978887557983,,,0.8333333134651184,,,0.9059829115867615,15,2767,,,,,,0.7714178562164307,0.7452107071876526,0.28817328810691833
,0.7054010033607483,,,0.6727828979492188,,,0.8865979313850403,,,0.9313432574272156,,15,2767,,,0.7990312576293945,0.753440797328949,0.2732965648174286,,,
,,0.7291280031204224,,,0.633952260017395,,,0.8510638475418091,,,0.9059829115867615,16,2940,,,,,,0.7800317406654358,0.7523946166038513,0.2860508859157562
,0.69786536693573,,,0.6836867332458496,,,0.8939393758773804,,,0.9380530714988708,,16,2940,,,0.8033861517906189,0.7538934946060181,0.27070796489715576,,,
,,0.7583187222480774,,,0.6104294657707214,,,0.8510638475418091,,,0.9059829115867615,17,3113,,,,,,0.7814487218856812,0.7634099721908569,0.2760128080844879
,0.6993409991264343,,,0.6814236044883728,,,0.8911392688751221,,,0.9408283829689026,,17,3113,,,0.8031830787658691,0.7555233836174011,0.27120301127433777,,,
,,0.7475113272666931,,,0.6329113841056824,,,0.8333333134651184,,,0.8965517282485962,18,3286,,,,,,0.7775769233703613,0.7617337107658386,0.2795003056526184
,0.7119609713554382,,,0.6817194819450378,,,0.8974359035491943,,,0.9380530714988708,,18,3286,,,0.8072923421859741,0.7593263387680054,0.27111363410949707,,,
,,0.7568523287773132,,,0.6357039213180542,,,0.8275862336158752,,,0.886956512928009,19,3459,,,,,,0.7767747640609741,0.7674808502197266,0.2761116027832031
,0.6948240399360657,,,0.6715770959854126,,,0.903553307056427,,,0.9501466155052185,,19,3459,,,0.8050252795219421,0.7528975009918213,0.27032390236854553,,,
,,0.7529200315475464,,,0.6285714507102966,,,0.8450704216957092,,,0.9059829115867615,20,3632,,,,,,0.7831361889839172,0.7650862336158752,0.2780689299106598
,0.6952223777770996,,,0.6885529160499573,,,0.8989899158477783,,,0.9590643048286438,,20,3632,,,0.8104574084281921,0.7605940103530884,0.2682810127735138,,,
,,0.6687306761741638,,,0.6310558915138245,,,0.8510638475418091,,,0.9059829115867615,21,3805,,,,,,0.7642083168029785,0.7284482717514038,0.2997276186943054
,0.7156704068183899,,,0.6790450811386108,,,0.9068009853363037,,,0.9432835578918457,,21,3805,,,0.8112000226974487,0.7615900039672852,0.2679159939289093,,,
,,0.7267605662345886,,,0.6377952694892883,,,0.8510638475418091,,,0.8828828930854797,22,3978,,,,,,0.7746256589889526,0.7528735399246216,0.28591227531433105
,0.7013518810272217,,,0.6869220733642578,,,0.9141414165496826,,,0.9501466155052185,,22,3978,,,0.8131405115127563,0.7614994645118713,0.2672313153743744,,,
,,0.7575221061706543,,,0.6330532431602478,,,0.8391608595848083,,,0.8965517282485962,23,4151,,,,,,0.7815719842910767,0.7655651569366455,0.2773364186286926
,0.7034313678741455,,,0.6831421256065369,,,0.9030612111091614,,,0.9498525261878967,,23,4151,,,0.8098717927932739,0.7599601745605469,0.2655998468399048,,,
,,0.711240291595459,,,0.6389610171318054,,,0.8391608595848083,,,0.8965517282485962,24,4324,,,,,,0.7714784741401672,0.7452107071876526,0.287529855966568
,0.7064107656478882,,,0.6832243800163269,,,0.910941481590271,,,0.9384164214134216,,24,4324,,,0.8097482919692993,0.7615900039672852,0.26600542664527893,,,
,,0.741079568862915,,,0.6368563771247864,,,0.8391608595848083,,,0.8965517282485962,25,4497,,,,,,0.7784121036529541,0.758860170841217,0.2792370617389679
,0.7010647058486938,,,0.6791467070579529,,,0.8984771370887756,,,0.9501466155052185,,25,4497,,,0.807208776473999,0.7569721341133118,0.26634350419044495,,,
,,0.712890625,,,0.6389937400817871,,,0.8219178318977356,,,0.8828828930854797,26,4670,,,,,,0.7641712427139282,0.7444923520088196,0.29095596075057983
,0.707554817199707,,,0.6840246915817261,,,0.9104859232902527,,,0.9473684430122375,,26,4670,,,0.8123584985733032,0.7636725902557373,0.26276877522468567,,,
,,0.7422303557395935,,,0.6281690001487732,,,0.8571428656578064,,,0.8965517282485962,27,4843,,,,,,0.7810235023498535,0.757662832736969,0.2783585488796234
,0.7090685367584229,,,0.6901653409004211,,,0.913705587387085,,,0.9523809552192688,,27,4843,,,0.8163301348686218,0.7658457159996033,0.2649456858634949,,,
0.7364485859870911,,,0.6077347993850708,,,0.8333333134651184,,,0.9230769276618958,,,28,4844,0.7751483917236328,0.7387033104896545,,,,,,
